TeamId,TeamName,SubmissionDate,Score
68890,Competition Wizard Sample Submission Playground,3/17/14 14:11,19.18821
68890,Competition Wizard Sample Submission Playground,3/17/14 14:12,0.60021
77541,pistoldawn,3/17/14 14:51,19.18821
81943,All zeros benchmark,3/17/14 14:57,19.18821
80656,Solutions by Taylor LLC,3/17/14 15:01,0.57177
74259,mushtaq,3/17/14 15:05,0.6009
71305,JTrono,3/17/14 15:10,0.55917
72801,ddductr,3/17/14 15:34,0.77994
79328,Silesian Team,3/17/14 15:55,0.69954
81466,John N,3/17/14 16:10,0.5742
71979,DanC,3/17/14 16:24,1.82265
75396,Mark J,3/17/14 16:52,0.61028
72173,Dr. Pain,3/17/14 16:55,0.57144
80335,Beluga,3/17/14 16:56,0.55834
75823,Ram Narayan,3/17/14 17:03,0.61291
74870,Iiss,3/17/14 17:44,1.06038
81206,Siddharth Chandrakant,3/17/14 17:49,0.58144
72495,Convalytics,3/17/14 18:00,1.13934
81233,Jaspreet Singh,3/17/14 18:02,0.56137
81986,Leonid Khlebushchev,3/17/14 18:18,0.58923
74870,Iiss,3/17/14 18:19,0.58538
72495,Convalytics,3/17/14 18:42,0.61969
80858,Luca Massaron,3/17/14 18:53,0.60374
79776,numeramc,3/17/14 19:01,0.62418
79776,numeramc,3/17/14 19:02,0.58856
74259,mushtaq,3/17/14 19:13,0.57947
81829,akoug,3/17/14 19:19,0.98765
80858,Luca Massaron,3/17/14 19:24,0.5654
78724,Lee 312,3/17/14 20:22,0.57621
78949,AR2,3/17/14 21:39,0.63539
78949,AR2,3/17/14 21:39,0.62721
76032,MLMartin,3/17/14 21:48,0.63142
82040,Ben Zauzmer,3/17/14 22:44,0.57401
76113,jgor,3/17/14 22:46,1.1708
82057,Seed difference model,3/17/14 22:48,0.60021
77340,jostheim,3/17/14 22:59,0.5568
76289,Maky,3/17/14 23:13,0.68622
76032,MLMartin,3/17/14 23:38,0.62295
80063,Justin Desjardins 2,3/17/14 23:44,0.60583
82067,dynamic24,3/17/14 23:53,0.59421
78456,Ian McCulla,3/17/14 23:58,0.95764
71162,The Mark Glickman Fan Club,3/18/14 0:07,1.09563
71162,The Mark Glickman Fan Club,3/18/14 0:07,1.08814
81186,gpierce90,3/18/14 0:28,2.63855
81657,shan,3/18/14 0:59,0.56197
79410,yankovai,3/18/14 0:59,1.79643
82034,worthatry,3/18/14 1:01,0.91232
73782,maxqld,3/18/14 1:08,1.10358
75849,Adam Agata,3/18/14 1:47,0.55193
78081,UTexas MSBA1,3/18/14 1:48,0.8428
81076,submittedthewrongfile,3/18/14 1:56,19.18821
75893,Ross Jacobucci,3/18/14 2:23,0.61818
81671,anhol,3/18/14 2:29,0.59631
77738,Bob Wothe,3/18/14 3:04,0.56117
77738,Bob Wothe,3/18/14 3:08,0.55864
82084,Alex Prodan,3/18/14 3:13,19.18821
80036,Mark Glickman,3/18/14 3:18,0.64755
82089,"""Pain""",3/18/14 3:50,0.61419
72076,skwalas,3/18/14 4:05,0.55755
80771,Ron Paider,3/18/14 4:11,4.84657
71252,Filip Piasevoli,3/18/14 4:28,0.56035
81634,Colin Carroll,3/18/14 4:38,0.58361
81634,Colin Carroll,3/18/14 4:39,0.5562
81462,Alpha Omega Analytics,3/18/14 4:56,0.65228
82093,Monte McNair,3/18/14 4:56,0.56828
78971,hcseob,3/18/14 5:44,0.55977
78665,bibzzzz,3/18/14 5:55,0.57995
78665,bibzzzz,3/18/14 5:57,0.57441
72428,gcbower,3/18/14 6:57,0.56879
78971,hcseob,3/18/14 7:02,0.55893
82116,Michel Blaauw,3/18/14 7:56,19.18821
